iter	Passed	Remaining
411	5430	7749
412	5440	7732
413	5451	7716
414	5464	7703
415	5475	7687
416	5494	7681
417	5508	7669
418	5520	7654
419	5536	7645
420	5545	7627
421	5560	7616
422	5571	7599
423	5583	7585
424	5598	7574
425	5610	7559
426	5620	7541
427	5628	7522
428	5647	7516
429	5660	7503
430	5670	7486
431	5686	7477
432	5698	7461
433	5713	7451
434	5723	7433
435	5732	7415
436	5740	7396
437	5751	7379
438	5764	7366
439	5778	7354
440	5788	7337
441	5802	7325
442	5813	7309
443	5826	7296
444	5837	7280
445	5850	7266
446	5862	7252
447	5872	7236
448	5886	7223
449	5899	7210
450	5917	7203
451	5930	7189
452	5942	7175
453	5956	7163
454	5970	7151
455	5985	7140
456	5995	7124
457	6013	7116
458	6023	7099
459	6036	7086
460	6048	7072
461	6062	7059
462	6081	7054
463	6091	7037
464	6108	7027
465	6121	7015
466	6132	6999
467	6144	6984
468	6156	6970
469	6170	6957
470	6181	6942
471	6192	6927
472	6207	6915
473	6217	6899
474	6224	6879
475	6238	6867
476	6252	6855
477	6264	6840
478	6284	6836
479	6296	6821
480	6310	6808
481	6327	6800
482	6349	6795
483	6359	6780
484	6371	6765
485	6385	6753
486	6401	6743
487	6413	6728
488	6425	6714
489	6437	6699
490	6455	6692
491	6475	6686
492	6486	6670
493	6501	6659
494	6520	6651
495	6531	6637
496	6543	6622
497	6557	6609
498	6566	6592
499	6580	6580
500	6595	6569
501	6606	6553
502	6616	6537
503	6630	6525
504	6641	6509
505	6655	6497
506	6663	6479
507	6681	6470
508	6695	6458
509	6705	6442
510	6720	6431
511	6733	6417
512	6747	6405
513	6757	6389
514	6775	6381
515	6791	6370
516	6800	6353
517	6814	6340
518	6828	6328
519	6837	6311
520	6851	6298
521	6865	6287
522	6879	6274
523	6889	6257
524	6900	6243
525	6914	6231
526	6927	6217
527	6934	6199
528	6945	6184
529	6962	6173
530	6972	6158
531	6983	6143
532	6994	6128
533	7002	6110
534	7014	6096
535	7034	6089
536	7048	6077
537	7062	6064
538	7071	6048
539	7083	6033
540	7096	6021
541	7109	6008
542	7128	5999
543	7142	5987
544	7159	5977
545	7170	5962
546	7181	5947
547	7195	5934
548	7212	5924
549	7224	5910
550	7236	5896
551	7248	5882
552	7260	5868
553	7274	5856
554	7285	5841
555	7300	5829
556	7310	5814
557	7330	5806
558	7345	5794
